scale_id,label,X,D,H,d_count,band_id,band_definition,raw_count,reciprocal_mass,true_beta_signed_mass,unsigned_beta_mass,random_signed_mass,adversarial_max_abs_mass,reciprocal_over_raw,pi4_unsigned_over_reciprocal,signed_abs_over_unsigned,unsigned_over_D2,unsigned_over_D_plus_D4_over_X,precision_stable
lower,D=X^(1/4),625,5,1,3,exact_N0,N=0,90,90,0.057746150182599385438984405877542654547781385426715227789695199529851852549979558,0.057746150182599385438984405877542654547781385426715227789695199529851852549979558,0.057746150182599385438984405877542654547781385426715227789695199529851852549979558,0.057746150182599385438984405877542654547781385426715227789695199529851852549979558,1,0.062500000000000000000000000,1,0.002309846007303975417559376235,0.009624358363766564239830734313,True
lower,D=X^(1/4),625,5,1,3,nonzero_le_1,0<|N|<=1,0,0,0,0,0,0,,,,0,0,True
lower,D=X^(1/4),625,5,1,3,nonzero_le_4,0<|N|<=4,0,0,0,0,0,0,,,,0,0,True
crossover,D=round(X^(3/8)),625,11,2,6,exact_N0,N=0,396,396,1.1955024795074811928914656468491606498461688521180848378471933447780183193752585,1.1955024795074811928914656468491606498461688521180848378471933447780183193752585,1.1955024795074811928914656468491606498461688521180848378471933447780183193752585,1.1955024795074811928914656468491606498461688521180848378471933447780183193752585,1,0.2940727521659592644560991278,1,0.009880185781053563577615418569,0.03472713560569695787121983776,True
crossover,D=round(X^(3/8)),625,11,2,6,nonzero_le_1,0<|N|<=1,0,0,0,0,0,0,,,,0,0E+4,True
crossover,D=round(X^(3/8)),625,11,2,6,nonzero_le_23,0<|N|<=23,264,264,0.79700165300498746192764376456610709989744590141205655856479556318534554625017236,0.79700165300498746192764376456610709989744590141205655856479556318534554625017236,0.79700165300498746192764376456610709989744590141205655856479556318534554625017236,0.79700165300498746192764376456610709989744590141205655856479556318534554625017236,1,0.2940727521659592644560991278,1,0.006586790520702375718410279046,0.02315142373713130524747989184,True
crossover,D=round(X^(3/8)),625,11,2,6,nonzero_le_92,0<|N|<=92,1764,1764,5.3254201359878707683347106086917156220420248867078324595011339903748088772170607,5.3254201359878707683347106086917156220420248867078324595011339903748088772170607,5.3254201359878707683347106086917156220420248867078324595011339903748088772170607,5.3254201359878707683347106086917156220420248867078324595011339903748088772170607,1,0.2940727521659592644560991278,1,0.04401173666105678320937777363,0.1546936040617409941536156409,True
endpoint,D=X^(1/2),625,25,5,13,exact_N0,N=0,23782,2858.740740740740740740740740740740740741,15.277597397026947383894621322861046065957607847964092231090937155479641455572724,15.886472582475256531071203944145684154749698836794500751192748015319656671261804,15.331455554424534716642608885203076339698953279615881752845690609956811568981572,15.886472582475256531071203944145684154749698836794500751192748015319656671261804,0.1202060693272534160600765596,0.5413176619837656246028116024,0.9616733555994063931900249623,0.02541835613196041044971392631,0.02444072704996193312472492914,True
endpoint,D=X^(1/2),625,25,5,13,nonzero_le_1,0<|N|<=1,144,4.48,-0.00088507752737374349967282074147625477318221745492021974436384527306017447450815691,0.0012834974322163822193115613133717193930031078794122086206900257066037631034825516,0.00089166879686210942495915305838998813109419457804698278974891287228530494080019935,0.0012834974322163822193115613133717193930031078794122086206900257066037631034825516,0.03111111111111111111111111111,0.02790721388765043486021689732,0.6895826241314443713390839045,0.000002053595891546211550898498101,0.000001974611434179049568171632790,True
endpoint,D=X^(1/2),625,25,5,13,nonzero_le_625,0<|N|<=625,401272,53078.83946666666666666666666666666666667,208.09876338193310649407616544597236666857214011455492792032061277541469346729157,269.29551654679363619343466293909649001804191533763281310189030734254325479942293,210.11337767471993747413494787876712912606839561937836397508091036768023292442237,269.29551654679363619343466293909649001804191533763281310189030734254325479942293,0.1322764595253759710786366023,0.4942050683460936112559020955,0.7727524247354976318865256272,0.4308728264748698179094954607,0.4143007946873748249129764045,True
endpoint,D=X^(1/2),625,25,5,13,nonzero_le_2500,0<|N|<=2500,1637980,199056.3548444444444444444444444444444444,720.89530261109142690158820961603343246634703340611942516449914665672493040413563,967.35796593124197315706470856412970223492596587521728249153616258004102129662371,728.69269748086664586102793156376105192021756989321092910131489390021959689167675,967.35796593124197315706470856412970223492596587521728249153616258004102129662371,0.1215255099845202288455563831,0.4733808184094438674165831879,0.7452208262089520442052965428,1.547772745489987157051303534,1.488243024509603035626253398,True
